time,power
1900-01-01 00:00:00,72.77222457957127
1900-01-01 00:05:00,77.14450877918563
1900-01-01 00:10:00,80.93863969620634
1900-01-01 00:15:00,80.93863969620634
1900-01-01 00:20:00,77.50986953415799
1900-01-01 00:25:00,74.12325638229876
1900-01-01 00:30:00,70.0714992919001
1900-01-01 00:35:00,66.23052725244702
1900-01-01 00:40:00,62.38955521299395
1900-01-01 00:45:00,58.54858317354088
1900-01-01 00:50:00,54.988657868681926
1900-01-01 00:55:00,49.50824654409645
1900-01-01 01:00:00,44.26204083167275
1900-01-01 01:05:00,40.018235139301424
1900-01-01 01:10:00,40.018235139301424
1900-01-01 01:15:00,36.462993946685714
1900-01-01 01:20:00,33.22627238661002
1900-01-01 01:25:00,29.694451755210494
1900-01-01 01:30:00,26.883984409269203
1900-01-01 01:35:00,26.883984409269203
1900-01-01 01:40:00,23.995448525940674
1900-01-01 01:45:00,22.793193050176924
1900-01-01 01:50:00,22.793193050176924
1900-01-01 01:55:00,22.34039553333082
1900-01-01 02:00:00,22.34039553333082
1900-01-01 02:05:00,21.169367472521955
1900-01-01 02:10:00,19.8422023369386
1900-01-01 02:15:00,19.8422023369386
1900-01-01 02:20:00,17.773386096176253
1900-01-01 02:25:00,17.773386096176253
1900-01-01 02:30:00,19.108358085498367
1900-01-01 02:35:00,19.108358085498367
1900-01-01 02:40:00,19.108358085498367
